id,Component Name,Domain,Functionality,Properties of Component Using FM
53,Room Selector,Hotel Booking,Dropdown displaying room type and number of persons,
54,Train display,Railway Reservation,Display list of trains availability according to date and class,"1. Whenever a request to show the train list to the selective destination, then eventually the response will be select the confirm date of train and confirm class to that particular train, 2. There is a possibility for confirm date for selecting the particular train from Idle state, followed by select the confirm class of that train, finally followed by goto calculate total fare for journey . This sequence of actions may be repeated infinitely. "
55,Sign in,Travel Agent Services,Login using user name and password,
56,Calculate Button,Flight Booking,Calculate fare,
57,Add Book,Library Management,"Text Box for Book Name, Author and topic",
58,Add Book,Library Management,"Text Box for Book Name, Author and year",
59,Flight Selector,Flight Booking,Dropdown displaying class and number of stops,
60,Flight Selector,Flight Booking,Dropdown displaying class and number of stops,
61,Flights Display,Flight Booking,Display list of flights according to class and number of stops,
62,Flights Display,Flight Booking,Display list of flights according to class and number of stops,
63,Fare Calculator,Hotel Booking,"Fare calculation according to type of room , number of persons",
64,Fare Calculator,Travel Agent Services,"Fare calculation according to distance, and number of person",
65,Fare Calculator,Flight Booking,"Fare calculation according to distance ,class and number of stops selected",
66,Logout Button,Hotel Booking,Logout button,
67,Logout Button,E-commerce System,Logout button,
68,Login,Hotel Booking,Login using username and password ,
69,Logout Button,Library Management,Logout button,
70,Personal Information,Travel Agent Services,"Display personal information with name, phone no., password and email id",
71,Login,Flight Booking,Login using username and password with captcha protection,
72,Sign in,Online Video on Demand,Login using username and password ,
73,Search Video,Online Video on Demand,Enter the Choice of User,
74,Train Display,Railway Reservation,Display trains availability according to class and quota,"1. Whenever a request to show the train list to the selective destination, then eventually the response will be select the confirm class of train and confirm valid quota to that particular train, 2. There is a possibility for confirm class for selecting the particular train from Start state, followed by select the confirm quota of that train, finally followed by goto calculate total fare for journey . This sequence of actions may be repeated infinitely. "
75,Hotels Display,Travel Agent Services,Display all the hotels name with contry,
76,Book Submission,Railway Reservation,Display booking confirmation after payment and response to email,"1. After a request to book the ticket from Start state, eventually there will be a response from B_button state, 2.There is a possibility for request to book ticket from Start state, followed by get the book id to fill all information (payment), finally followed by send the ticket to the email id of user. This sequence of actions may be repeated infinitely "
77,Logout Button,Flight Booking,Logout button,
78,Vehicle Display,Travel Agent Services,Display All the vehicle with their charge,
79,Payment Display,Travel Agent Services,"Payment page displaying options like credit card, UPI and PayPAL account",
80,Sign Out,Travel Agent Services,Sign out the account,
81,List Of Video,Online Video on Demand,Disply all the video according to query of user,
82,Sign Out,Online Video on Demand,Sign out the account,
83,No. of Person,Travel Agent Services,Display number of persons,
84,Payment,Online Video on Demand,"Payment page displaying options like credit card, debit card and also using cash",
85,Payment,Online Video on Demand,"Payment page displaying options like credit card, debit card only",
86,Payment Display,Library Management,"Payment page displaying options like credit card, debit card and also using cash",
87,Flight Display,Travel Agent Services,Disply all the flight details with amount,
88,Fare Calculator,Railway Reservation,"Fare calculation according to distance, train class and number of persons","1. Whenever a request to measure a distance to the destination, then eventually the response will be select the class of train and count the number of person to that particular train, 2. There is a possibility for calculating the distance from Start state, followed by select the class of that train, followed by count the number of person, finally followed by goto select the payment page . This sequence of actions may be repeated infinitely. "
89,Play Video,Online Video on Demand,Play the choose video,
90,Personal Information,Online Video on Demand,"Display personal information with name, phone no., password and email id",
